year,opening_balance_rub,interest_rub,principal_repayment_rub,debt_service_rub,closing_balance_rub
1,13230000.0,2646000.0,1777843.474521609,4423843.474521609,11452156.525478391
2,11452156.525478391,2290431.305095678,2133412.169425931,4423843.474521609,9318744.35605246
3,9318744.35605246,1863748.8712104922,2560094.603311117,4423843.474521609,6758649.752741343
4,6758649.752741343,1351729.9505482689,3072113.52397334,4423843.474521609,3686536.228768003
5,3686536.228768003,737307.2457536007,3686536.2287680083,4423843.474521609,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
